title,year,authors,affiliations,abstract,doi,article type,abstract_raw,abstract_clean
Large Infrastructure Projects: A Review of the Quality of Demand Forecasts and Cost Estimations,2007.0,"van Wee, Bert","Delft University of Technology, PO Box 5015, 2600 GA Delft, The Netherlands",decision making with respect to large infrastructure project is at least partly based on ex ante evaluation of cost and impact impact include economic environmental and social impact sometimes aggregated in a cost benefit analysis cba for such ex ante evaluation the quality of the related demand and cost forecast is very important this paper aim to answer four question what is the quality of demand forecast for large infrastructure project what is the quality of cost forecast for these project how can current practice with respect to assessing the demand and cost forecast be improved which implication do the insight have for practice and which challenge for future research can be derived from the finding a literature review is used to answer the first three question it is concluded that the quality of transport demand and cost forecast is often very poor especially for rail project this is not so much a lack of adequate forecasting technique or a matter of insight into the factor determining cost but more the strategic behaviour of some actor improvement therefore should not only be looked for in the area of transport demand and cost estimation methodology but should also focus on the question of how strategic behaviour can be avoided or at least limited these conclusion are very important for cba because cost underestimation and demand overestimation have a major impact on the cost benefit ratio and decrease the potentially positive impact of cba on the quality of decision making the paper discusses several challenge for related future research,10.1068/b32110,Research article,"Decision making with respect to large infrastructure projects is at least partly based on ex ante evaluations of costs and impacts. Impacts include economic, environmental, and social impacts, sometimes aggregated in a cost-benefit analysis (CBA). For such ex ante evaluations the quality of the related demand and costs forecasts is very important. This paper aims to answer four questions: (1) What is the quality of demand forecasts for large infrastructure projects? (2) What is the quality of cost forecasts for these projects? (3) How can current practices with respect to assessing the demand and cost forecasts be improved? (4) Which implications do the insights have for practice, and which challenges for future research can be derived from the findings? A literature review is used to answer the first three questions. It is concluded that the quality of transport demand and costs forecasts is often very poor, especially for rail projects. This is not so much a lack of adequate forecasting techniques or a matter of insight into the factors determining costs, but more the strategic behaviour of some actors. Improvements therefore should not only be looked for in the area of transport demand and cost-estimation methodologies, but should also focus on the question of how strategic behaviour can be avoided or at least limited. These conclusions are very important for CBA because cost underestimations and demand overestimations have a major impact on the cost-benefit ratio and decrease the potentially positive impact of CBA on the quality of decision making. The paper discusses several challenges for related future research.",decision making with respect to large infrastructure project is at least partly based on ex ante evaluation of cost and impact impact include economic environmental and social impact sometimes aggregated in a cost benefit analysis cba for such ex ante evaluation the quality of the related demand and cost forecast is very important this paper aim to answer four question what is the quality of demand forecast for large infrastructure project what is the quality of cost forecast for these project how can current practice with respect to assessing the demand and cost forecast be improved which implication do the insight have for practice and which challenge for future research can be derived from the finding a literature review is used to answer the first three question it is concluded that the quality of transport demand and cost forecast is often very poor especially for rail project this is not so much a lack of adequate forecasting technique or a matter of insight into the factor determining cost but more the strategic behaviour of some actor improvement therefore should not only be looked for in the area of transport demand and cost estimation methodology but should also focus on the question of how strategic behaviour can be avoided or at least limited these conclusion are very important for cba because cost underestimation and demand overestimation have a major impact on the cost benefit ratio and decrease the potentially positive impact of cba on the quality of decision making the paper discusses several challenge for related future research
Development and Design of Large Infrastructure Projects: Disregarded Alternatives and Issues of Spatial Planning,2007.0,"Priemus, Hugo","Faculty of Technology, Policy and Management, Delft University of Technology, Jaffalaan 5, Delft, The Netherlands",the dutch parliamentary commission on infrastructural project ha conducted a parliamentary inquiry into the decisionmaking process and implementation control in two major infrastructural project the betuwe freight line between rotterdam and germany and the hsl zuid the high speed rail link which will connect amsterdam with belgium and france the commission proposes a new assessment framework which give parliament better control of the decisionmaking process for future large project in this contribution i discus the development and design of large infrastructure project including the way the territorial impact of these project is mitigated i observe that problem are often approached from extremely narrow term of reference from one favourite solution whereby countless potentially worthwhile alternative solution are dismissed out of hand or enter the picture too late in addition problem concerning the mitigation of territorial impact of infrastructure are misjudged in the beginning and lead to cost overrun at a later stage there is too much focus on the infrastructure track and not enough focus on area development also the operation of the infrastructure project is misjudged and attention is too narrowly focused on the investment aspect of the project i formulate some lesson for the future not only for the netherlands but also for other modern country the timely generation and acknowledgement of infrastructure alternative enhances the democratic process and quality of public decisionmaking,10.1068/b32109,Research article,"The Dutch Parliamentary Commission on Infrastructural Projects has conducted a parliamentary inquiry into the decisionmaking process and implementation control in two major infrastructural projects: the Betuwe Freight Line between Rotterdam and Germany, and the HSL - Zuid— the high-speed rail link which will connect Amsterdam with Belgium and France. The commission proposes a new assessment framework which gives parliament better control of the decisionmaking process for future large projects. In this contribution I discuss the development and design of large infrastructure projects, including the way the territorial impact of these projects is mitigated. I observe that problems are often approached from extremely narrow terms of reference, from one favourite solution, whereby countless potentially worthwhile alternative solutions are dismissed out of hand or enter the picture too late. In addition, problems concerning the mitigation of territorial impacts of infrastructure are misjudged in the beginning, and lead to cost overruns at a later stage. There is too much focus on the infrastructure track and not enough focus on area development. Also, the operation of the infrastructure project is misjudged and attention is too narrowly focused on the investment aspects of the project. I formulate some lessons for the future, not only for the Netherlands, but also for other modern countries. The timely generation and acknowledgement of infrastructure alternatives enhances the democratic process and quality of public decisionmaking.",the dutch parliamentary commission on infrastructural project ha conducted a parliamentary inquiry into the decisionmaking process and implementation control in two major infrastructural project the betuwe freight line between rotterdam and germany and the hsl zuid the high speed rail link which will connect amsterdam with belgium and france the commission proposes a new assessment framework which give parliament better control of the decisionmaking process for future large project in this contribution i discus the development and design of large infrastructure project including the way the territorial impact of these project is mitigated i observe that problem are often approached from extremely narrow term of reference from one favourite solution whereby countless potentially worthwhile alternative solution are dismissed out of hand or enter the picture too late in addition problem concerning the mitigation of territorial impact of infrastructure are misjudged in the beginning and lead to cost overrun at a later stage there is too much focus on the infrastructure track and not enough focus on area development also the operation of the infrastructure project is misjudged and attention is too narrowly focused on the investment aspect of the project i formulate some lesson for the future not only for the netherlands but also for other modern country the timely generation and acknowledgement of infrastructure alternative enhances the democratic process and quality of public decisionmaking
"The State and the Controversial Demands of Cultural Built Heritage: Modernism, Dirty Concrete, and Postwar Listing in England",2007.0,"While, Aidan","Department of Town and Regional Planning, University of Sheffield, Winter Street, Sheffield S3 7ND, England",whilst it is generally accepted that architecturally or historically significant building should be protected in the common interest conservation policy often raise a series of dilemma for government in term of balancing demand for preservation and change in statutory protection for historic building in england wa extended to the post second world war ie post era taking conservation planning into new and sometimes controversial territory this paper examines the origin and evolution of england s postwar listing programme exploring the factor that prompted the state to extend protection into such a politically contentious area of conservation policy attention is drawn to the lobbying role of influential postwar conservation lobbyist located within and outside state structure in making the case for s and s architecture however the politics and practice of postwar listing are ultimately shown to be rooted in the underlying logic of built heritage regulation in england the paper offer original insight into the state s role a conservation champion and it implication for what get protected and why from the physical legacy of s and s design,10.1068/b32085,Research article,"Whilst it is generally accepted that architecturally or historically significant buildings should be protected in the common interest, conservation policy often raises a series of dilemmas for governments in terms of balancing demands for preservation and change. In 1987 statutory protection for historic buildings in England was extended to the post-Second World War (ie post-1945) era, taking conservation planning into new and sometimes controversial territory. This paper examines the origins and evolution of England's postwar listing programme, exploring the factors that prompted the state to extend protection into such a politically contentious area of conservation policy. Attention is drawn to the lobbying role of influential postwar conservation lobbyists located within and outside state structures in making the case for 1950s and 1960s architecture. However, the politics and practices of postwar listing are ultimately shown to be rooted in the underlying logic of built heritage regulation in England. The paper offers original insights into the state's role as conservation champion and its implications for what gets protected and why from the physical legacy of 1950s and 1960s design.",whilst it is generally accepted that architecturally or historically significant building should be protected in the common interest conservation policy often raise a series of dilemma for government in term of balancing demand for preservation and change in statutory protection for historic building in england wa extended to the post second world war ie post era taking conservation planning into new and sometimes controversial territory this paper examines the origin and evolution of england s postwar listing programme exploring the factor that prompted the state to extend protection into such a politically contentious area of conservation policy attention is drawn to the lobbying role of influential postwar conservation lobbyist located within and outside state structure in making the case for s and s architecture however the politics and practice of postwar listing are ultimately shown to be rooted in the underlying logic of built heritage regulation in england the paper offer original insight into the state s role a conservation champion and it implication for what get protected and why from the physical legacy of s and s design
"Ethnicity, Religion, and Residential Segregation in London: Evidence from a Computational Typology of Minority Communities",2007.0,"Brimicombe, Allan J","Centre for Geo-Information Studies, University of East London, University Way, London E16 2RD, England",within the context of the growing polarisation and fragmentation of the urban landscape this paper present a computational typology applicable to the study of minority community both ethnic and religious which is useful in understanding their spatial distribution and juxtaposition at neighbourhood level the typology ha been applied to multicultural london with the use of the census in which there were question on ethnicity and religion the landscape of religion is found to be more highly segregated in contrast to the landscape of ethnicity furthermore on the basis of a preliminary analysis of indicator variable minority seem on aggregate to be in an improved situation given a level of residential segregation with the exception of resident of segregated asian bangladeshi area for ethnicity and resident of segregated muslim area for religion this question the generally held view that segregation in a multicultural society is undesirable per se and suggests that a one size fit all government policy towards residential segregation is insufficiently perceptive the typology introduced here should facilitate a more critically informed approach to multiculturalism and the contemporary city,10.1068/b3309,Research article,"Within the context of the growing polarisation and fragmentation of the urban landscape, this paper presents a computational typology applicable to the study of minority communities, both ethnic and religious, which is useful in understanding their spatial distribution and juxtaposition at neighbourhood levels. The typology has been applied to multicultural London with the use of the 2001 Census, in which there were questions on ethnicity and religion. The landscape of religion is found to be more highly segregated in contrast to the landscape of ethnicity. Furthermore, on the basis of a preliminary analysis of indicator variables, minorities seem on aggregate to be in an improved situation given a level of residential segregation, with the exception of residents of segregated Asian-Bangladeshi areas for ethnicity and residents of segregated Muslim areas for religion. This questions the generally held view that segregation in a multicultural society is undesirable per se and suggests that a ‘one size fits all’ government policy towards residential segregation is insufficiently perceptive. The typology introduced here should facilitate a more critically informed approach to multiculturalism and the contemporary city.",within the context of the growing polarisation and fragmentation of the urban landscape this paper present a computational typology applicable to the study of minority community both ethnic and religious which is useful in understanding their spatial distribution and juxtaposition at neighbourhood level the typology ha been applied to multicultural london with the use of the census in which there were question on ethnicity and religion the landscape of religion is found to be more highly segregated in contrast to the landscape of ethnicity furthermore on the basis of a preliminary analysis of indicator variable minority seem on aggregate to be in an improved situation given a level of residential segregation with the exception of resident of segregated asian bangladeshi area for ethnicity and resident of segregated muslim area for religion this question the generally held view that segregation in a multicultural society is undesirable per se and suggests that a one size fit all government policy towards residential segregation is insufficiently perceptive the typology introduced here should facilitate a more critically informed approach to multiculturalism and the contemporary city
Modeling Urban Growth in Data-Sparse Environments: A New Approach,2007.0,"Fragkias, Michail; Seto, Karen C","Center for Environmental Science and Policy, Freeman Spogli Institute for International Studies, Stanford University, Stanford, CA 94305-6055, USA; Department of Geological and Environmental Sciences and Center for Environmental Science and Policy, Freeman Spogli Institute for International Studies, Stanford University, Stanford, CA 94305-2115, USA",although there exist numerous urban growth model most have significant data input requirement limiting their utility in a developing world context yet it is precisely in the developing world where there is an urgent need for urban growth model and scenario since most expected urban growth in the next two decade will occur in such country this paper describes a physical urban growth model that requires few but widely available spatially explicit data utilizing binary urban nonurban map generated by satellite imaging our model can inform urban planner and policy maker about the most probable location and period of future urban land use change using a discrete choice framework the model employ a spatially explicit logistic regression analysis to evaluate probability of urban growth for a baseline period it calibrates parameter validates result predicts urban land use change and examines future growth scenario future growth scenario can be generated through the inclusion of land prohibited from development transportation route or new planned urban development a novel and important element of the model is the incorporation of an explicit policy making framework that capture and reduces model uncertainty theory and specification uncertainty effectively addressing problem of predictive bias this framework also allows the user or policy maker to associate prediction with a loss function the model is applied to three city in southern china that have experienced dramatic urban land growth in the last two decade from to urban land in the region increased by or at an annual rate of approximately result show that the model achieves accuracy for different city at m and m resolution aggregating the prediction to the county administrative district show that prediction through thresholding underperforms in comparison to the technique of sample enumeration,10.1068/b32132,Research article,"Although there exist numerous urban growth models, most have significant data input requirements, limiting their utility in a developing-world context. Yet, it is precisely in the developing world where there is an urgent need for urban growth models and scenarios since most expected urban growth in the next two decades will occur in such countries. This paper describes a physical urban growth model that requires few, but widely available, spatially explicit data. Utilizing binary urban/nonurban maps generated by satellite imaging, our model can inform urban planners and policy makers about the most probable locations and periods of future urban land-use change. Using a discrete choice framework, the model employs a spatially explicit logistic regression analysis to evaluate probabilities of urban growth for a baseline period. It calibrates parameters, validates results, predicts urban land-use change and examines future growth scenarios. Future growth scenarios can be generated through the inclusion of land prohibited from development, transportation routes, or new planned urban developments. A novel and important element of the model is the incorporation of an explicit policy-making framework that captures and reduces model uncertainty (theory and specification uncertainties), effectively addressing problems of predictive bias; this framework also allows the user or policy maker to associate predictions with a loss function. The model is applied to three cities in southern China that have experienced dramatic urban land growth in the last two decades. From 1988 to 1999, urban land in the region increased by 451.6% or at an annual rate of approximately 16.5%. Results show that the model achieves 73% – 77% accuracy for different cities at 30 m and 60 m resolutions. Aggregating the predictions to the county/administrative district shows that prediction through thresholding underperforms in comparison to the technique of sample enumeration.",although there exist numerous urban growth model most have significant data input requirement limiting their utility in a developing world context yet it is precisely in the developing world where there is an urgent need for urban growth model and scenario since most expected urban growth in the next two decade will occur in such country this paper describes a physical urban growth model that requires few but widely available spatially explicit data utilizing binary urban nonurban map generated by satellite imaging our model can inform urban planner and policy maker about the most probable location and period of future urban land use change using a discrete choice framework the model employ a spatially explicit logistic regression analysis to evaluate probability of urban growth for a baseline period it calibrates parameter validates result predicts urban land use change and examines future growth scenario future growth scenario can be generated through the inclusion of land prohibited from development transportation route or new planned urban development a novel and important element of the model is the incorporation of an explicit policy making framework that capture and reduces model uncertainty theory and specification uncertainty effectively addressing problem of predictive bias this framework also allows the user or policy maker to associate prediction with a loss function the model is applied to three city in southern china that have experienced dramatic urban land growth in the last two decade from to urban land in the region increased by or at an annual rate of approximately result show that the model achieves accuracy for different city at m and m resolution aggregating the prediction to the county administrative district show that prediction through thresholding underperforms in comparison to the technique of sample enumeration
Choices versus Choice Sets: A Commuting Spectrum Method for Representing Job — Housing Possibilities,2008.0,"Yang, Jiawen; Ferreira, Joseph","City and Regional Planning, College of Architecture, Georgia Institute of Technology, 204 Architecture Building East, Atlanta, GA 30332-0155, USA; Urban Planning and Operations Research, Massachusetts Institute of Technology, 77 Massachusetts Avenue, Cambridge, MA 02139, USA",conclusion in empirical study of commuting and urban spatial structure depend on the selection of measure for the job housing relationship in order to help to develop urban growth strategy based on coherent empirical result this paper present a commuting spectrum approach a an alternative to existing job housing relationship measure with this approach two hypothetical and extreme commuting possibility are conceptualized a measure for job housing relationship and location choice set simulation in a stylized region and empirical result for boston and atlanta indicate that the proposed method can track local and regional aspect of job housing relationship change the revealed association between commuting length and the job housing relationship is consistent from the perspective of neighborhood level comparison multiyear comparison and interregion comparison,10.1068/b3326,Research article,"Conclusions in empirical studies of commuting and urban spatial structure depend on the selection of measures for the job-housing relationship. In order to help to develop urban growth strategies based on coherent empirical results, this paper presents a ‘commuting spectrum’ approach as an alternative to existing job–housing relationship measures. With this approach, two hypothetical and extreme commuting possibilities are conceptualized as measures for job–housing relationship and location-choice sets. Simulation in a stylized region and empirical results for Boston and Atlanta indicate that the proposed method can track local and regional aspects of job – housing relationship changes. The revealed association between commuting length and the job–housing relationship is consistent from the perspectives of neighborhood-level comparison, multiyear comparison, and interregion comparison.",conclusion in empirical study of commuting and urban spatial structure depend on the selection of measure for the job housing relationship in order to help to develop urban growth strategy based on coherent empirical result this paper present a commuting spectrum approach a an alternative to existing job housing relationship measure with this approach two hypothetical and extreme commuting possibility are conceptualized a measure for job housing relationship and location choice set simulation in a stylized region and empirical result for boston and atlanta indicate that the proposed method can track local and regional aspect of job housing relationship change the revealed association between commuting length and the job housing relationship is consistent from the perspective of neighborhood level comparison multiyear comparison and interregion comparison
Landmark Hierarchies in Context,2008.0,"Winter, Stephan; Tomko, Martin; Elias, Birgit; Sester, Monika","Department of Geomatics, The University of Melbourne, Victoria 3010, Australia; Cooperative Research Centre for Spatial Information, Department of Geomatics, The University of Melbourne, Victoria 3010, Australia; Institute of Cartography and Geoinformatics, University of Hannover, Appelstrasse 9a, 30167 Hannover, Germany; Institute of Cartography and Geoinformatics, University of Hannover, Appelstrasse 9a, 30167 Hannover, Germany",we are interested in the generation of distinguishing place or route description for urban environment such description require a hierarchical model of the discourse the element of the city we postulate that cognitive hierarchy a used in human communication can be sufficiently reflected in machine generated hierarchy in this paper we a propose a computational model for the generation of a hierarchy of one of these element of the city landmark and b demonstrate that a set of filter rule applied on this hierarchy derives distinguishing route description from spatial context,10.1068/b33106,Research article,"We are interested in the generation of distinguishing place or route descriptions for urban environments. Such descriptions require a hierarchical model of the discourse, the elements of the city. We postulate that cognitive hierarchies, as used in human communication, can be sufficiently reflected in machine-generated hierarchies. In this paper we (a) propose a computational model for the generation of a hierarchy of one of these elements of the city—landmarks—and (b) demonstrate that a set of filter rules applied on this hierarchy derives distinguishing route descriptions from spatial context.",we are interested in the generation of distinguishing place or route description for urban environment such description require a hierarchical model of the discourse the element of the city we postulate that cognitive hierarchy a used in human communication can be sufficiently reflected in machine generated hierarchy in this paper we a propose a computational model for the generation of a hierarchy of one of these element of the city landmark and b demonstrate that a set of filter rule applied on this hierarchy derives distinguishing route description from spatial context
Institutional Barriers to Incorporating Climate Responsive Design in Commercial Redevelopment,2008.0,"Ryser, Laura; Halseth, Greg","Geography Program, University of Northern British Columbia, 3333 University Way, Prince George, BC V2N 4Z9, Canada; Geography Program, University of Northern British Columbia, 3333 University Way, Prince George, BC V2N 4Z9, Canada",for decade the literature on the winter city and on urban design ha explored the implication of poorly designed urban space on pedestrian mobility during various season in canada however practice in using climate responsive design principle tends to be the exception using a case study methodology this paper explores the application of climate responsive design principle in the commercial redevelopment process in prince george british columbia finding indicate that despite expressed interest in winter city development professional and decision maker involved in the development permit process do not possess sufficient knowledge about climate responsive design to apply these principle to everyday practice more importantly knowledge about climate responsive design did not appear to be a major consideration in creating or evaluating commercial redevelopment project a range of educational attitudinal regulatory structural and political barrier impede the development of an institutional framework to support the implementation of climate responsive design,10.1068/b32066,Research article,"For decades the literature on the winter cities and on urban design has explored the implications of poorly designed urban spaces on pedestrian mobility during various seasons. In Canada, however, practice in using climate responsive design principles tends to be the exception. Using a case study methodology, this paper explores the application of climate responsive design principles in the commercial redevelopment process in Prince George, British Columbia. Findings indicate that, despite expressed interest in winter city development, professionals and decision makers involved in the development permit process do not possess sufficient knowledge about climate responsive design to apply these principles to everyday practice. More importantly, knowledge about climate responsive design did not appear to be a major consideration in creating or evaluating commercial redevelopment projects. A range of educational, attitudinal, regulatory, structural, and political barriers impede the development of an institutional framework to support the implementation of climate responsive design.",for decade the literature on the winter city and on urban design ha explored the implication of poorly designed urban space on pedestrian mobility during various season in canada however practice in using climate responsive design principle tends to be the exception using a case study methodology this paper explores the application of climate responsive design principle in the commercial redevelopment process in prince george british columbia finding indicate that despite expressed interest in winter city development professional and decision maker involved in the development permit process do not possess sufficient knowledge about climate responsive design to apply these principle to everyday practice more importantly knowledge about climate responsive design did not appear to be a major consideration in creating or evaluating commercial redevelopment project a range of educational attitudinal regulatory structural and political barrier impede the development of an institutional framework to support the implementation of climate responsive design
Measuring Urban Sprawl: How Can We Deal with It?,2008.0,"Frenkel, Amnon; Ashkenazi, Maya","Faculty of Architecture and Town Planning and Center for Urban and Regional Studies, Technion—Israel Institute of Technology, Haifa, Israel; Faculty of Architecture and Town Planning and Center for Urban and Regional Studies, Technion—Israel Institute of Technology, Haifa, Israel",measuring urban sprawl is a controversial topic among scholar who investigate the urban landscape this study attempt to measure sprawl from a landscape perspective the measure and index used are derived from various research discipline such a urban research ecological research and fractal geometry the examination wa based on an urban land use survey performed in seventy eight urban settlement in israel over the course of fifteen year measure of sprawl were calculated at each settlement and were then weighted into one integrated sprawl index through factor analysis thus enabling a description of sprawl rate and their dynamic over a time period of approximately two decade the result reveal that urban sprawl is a multidimensional phenomenon that is best quantified by various measure,10.1068/b32155,Research article,"Measuring urban sprawl is a controversial topic among scholars who investigate the urban landscape. This study attempts to measure sprawl from a landscape perspective. The measures and indices used are derived from various research disciplines, such as urban research, ecological research, and fractal geometry. The examination was based on an urban land-use survey performed in seventy-eight urban settlements in Israel over the course of fifteen years. Measures of sprawl were calculated at each settlement and were then weighted into one integrated sprawl index through factor analysis, thus enabling a description of sprawl rates and their dynamics over a time period of approximately two decades. The results reveal that urban sprawl is a multidimensional phenomenon that is best quantified by various measures.",measuring urban sprawl is a controversial topic among scholar who investigate the urban landscape this study attempt to measure sprawl from a landscape perspective the measure and index used are derived from various research discipline such a urban research ecological research and fractal geometry the examination wa based on an urban land use survey performed in seventy eight urban settlement in israel over the course of fifteen year measure of sprawl were calculated at each settlement and were then weighted into one integrated sprawl index through factor analysis thus enabling a description of sprawl rate and their dynamic over a time period of approximately two decade the result reveal that urban sprawl is a multidimensional phenomenon that is best quantified by various measure
Individual Space – Time Activity-Based Model: A Model for the Simulation of Airborne Infectious-Disease Transmission by Activity-Bundle Simulation,2008.0,"Yang, Yong; Atkinson, Peter M","School of Geography, University of Southampton, Southampton SO17 1BJ, England; School of Geography, University of Southampton, Southampton SO17 1BJ, England",activity bundle ab simulation is a method for obtaining a specific contact network specific to target infectious disease from the space time dynamic of individual constrained both by their social activity and by the physical condition of the space taking advantage of ab simulation an individual space time activity based model istam is presented which integrates the infectious disease evolution process individual activity pattern and stochastic infection model istam wa applied to the university of southampton in order to simulate a hypothetical influenza epidemic the result show that the model behaviour is approximately consistent with expectation,10.1068/b32162,Research article,"Activity bundle (AB) simulation is a method for obtaining a specific contact network (specific to target infectious disease) from the space–time dynamics of individuals constrained both by their social activity and by the physical condition of the space. Taking advantage of AB simulation, an individual space–time activity-based model (ISTAM) is presented which integrates the infectious-disease evolution process, individual activity patterns, and stochastic infection model. ISTAM was applied to the University of Southampton in order to simulate a hypothetical influenza epidemic. The results show that the model behaviour is approximately consistent with expectations.",activity bundle ab simulation is a method for obtaining a specific contact network specific to target infectious disease from the space time dynamic of individual constrained both by their social activity and by the physical condition of the space taking advantage of ab simulation an individual space time activity based model istam is presented which integrates the infectious disease evolution process individual activity pattern and stochastic infection model istam wa applied to the university of southampton in order to simulate a hypothetical influenza epidemic the result show that the model behaviour is approximately consistent with expectation
Site Planning and Guiding Principles of Hi-Tech Parks in China: Shenzhen as a Case Study,2008.0,"Fang, Chuanglin; Xie, Yichun","Institute of Geographic Science and Natural Resource Research, Chinese Academy of Sciences, 11A Datun Road, An-wai, Beijing, 100101 China; Department of Geography and Geology, Eastern Michigan University, 205 Strong Hall, Ypsilanti, MI 48197, USA",recent institutional change marketization and globalization have combined to bring about rapid economic growth in contemporary china one of the direct outcome is the rapid expansion of large city and the recurring birth of new city from small town and rural village clustered construction crane are popular scene in many chinese city one of the noticeable city landmark is the specialized economic development district such a a hi tech park industrial park commerce park high standard apartment complex and designated port district along with the development of these new type of urban block the chinese policy and practice of urban planning and city design have been dramatically reshaped this paper on the basis of our participatory observation of the planning process of the shenzhen silicon peak software ecological park examines site planning and design of hi tech park in china the paper discusses the seven principle guiding the development of hi tech park and the four implementation strategy directing planning and design practice it also illustrates the adoption of gis technique the new eco community planning approach and the classic chinese cosmology harmonious wind and water feng shui through the case study the paper concludes with discussion of the change of chinese value and practice of urban planning in the context of hi tech park in the transitional period,10.1068/b32064,Research article,"Recent institutional changes, marketization, and globalization have combined to bring about rapid economic growth in contemporary China. One of the direct outcomes is the rapid expansion of large cities and the recurring birth of new cities from small towns and rural villages. Clustered construction cranes are popular scenes in many Chinese cities. One of the noticeable city landmarks is the specialized economic development district, such as a hi-tech park, industrial park, commerce park, high-standard apartment complex, and designated port district. Along with the development of these new types of urban blocks, the Chinese policies and practices of urban planning and city design have been dramatically reshaped. This paper, on the basis of our participatory observation of the planning process of the Shenzhen Silicon Peak Software Ecological Park, examines site planning and design of hi-tech parks in China. The paper discusses the seven principles guiding the development of hi-tech parks, and the four implementation strategies directing planning and design practices. It also illustrates the adoption of GIS techniques, the new eco-community planning approach, and the classic Chinese cosmology—harmonious wind and water (feng shui)—through the case study. The paper concludes with discussion of the changes of Chinese values and practices of urban planning in the context of hi-tech parks in the transitional period.",recent institutional change marketization and globalization have combined to bring about rapid economic growth in contemporary china one of the direct outcome is the rapid expansion of large city and the recurring birth of new city from small town and rural village clustered construction crane are popular scene in many chinese city one of the noticeable city landmark is the specialized economic development district such a a hi tech park industrial park commerce park high standard apartment complex and designated port district along with the development of these new type of urban block the chinese policy and practice of urban planning and city design have been dramatically reshaped this paper on the basis of our participatory observation of the planning process of the shenzhen silicon peak software ecological park examines site planning and design of hi tech park in china the paper discusses the seven principle guiding the development of hi tech park and the four implementation strategy directing planning and design practice it also illustrates the adoption of gis technique the new eco community planning approach and the classic chinese cosmology harmonious wind and water feng shui through the case study the paper concludes with discussion of the change of chinese value and practice of urban planning in the context of hi tech park in the transitional period
Interdependent Urban Renewal Project Selection under the Consideration of Resource Constraints,2008.0,"Wey, Wann-Ming; Wu, Kuei-Yang","Department of Architecture, National United University, 1 Lien-Da, Kung-Ching Li, Miaoli, 36003 Taiwan, Republic of China; Department of Architecture, National United University, 1 Lien-Da, Kung-Ching Li, Miaoli, 36003 Taiwan, Republic of China",this paper proposes an application of the fuzzy delphi method the analytic network process anp and zero one goal programming zogp for the urban renewal project selection problem in a redeveloping urban area in taichung city taiwan urban renewal project selection mean the identification of the most cost beneficial project the project that will produce most cost benefit in order to maximize the net benefit to the public and to allocate resource most efficiently in order to evaluate different urban renewal project a hierarchical network model based on various factor and the interaction of factor is presented by incorporating expert opinion a priority index can be calculated for each urban renewal project studied and a performance ranking of urban project renewal can be generated in this paper an improved urban renewal project selection methodology which reflects interdependency among evaluation criterion and candidate project using an integrated approach is suggested finally we introduce a method of solution through an empirical real world urban renewal project selection example on an ongoing decision making project in taichung city taiwan using anp zogp the result provide guidance to the government regarding strategy for accepting order for redeveloping urban environment,10.1068/b33045,Research article,"This paper proposes an application of the fuzzy Delphi method, the analytic network process (ANP) and zero – one goal programming (ZOGP) for the urban renewal project selection problem in a redeveloping urban area in Taichung City, Taiwan. Urban renewal project selection means the identification of the most cost-beneficial projects (the projects that will produce most cost benefit) in order to maximize the net benefit to the public and to allocate resources most efficiently. In order to evaluate different urban renewal projects, a hierarchical network model based on various factors and the interactions of factors is presented. By incorporating experts' opinion, a priority index can be calculated for each urban renewal project studied, and a performance ranking of urban projects renewal can be generated. In this paper an improved urban renewal project selection methodology, which reflects interdependencies among evaluation criteria and candidate project using an integrated approach, is suggested. Finally, we introduce a method of solution through an empirical real-world urban renewal project selection example on an ongoing decision-making project in Taichung City, Taiwan using ANP – ZOGP. The results provide guidance to the government regarding strategies for accepting orders for redeveloping urban environments.",this paper proposes an application of the fuzzy delphi method the analytic network process anp and zero one goal programming zogp for the urban renewal project selection problem in a redeveloping urban area in taichung city taiwan urban renewal project selection mean the identification of the most cost beneficial project the project that will produce most cost benefit in order to maximize the net benefit to the public and to allocate resource most efficiently in order to evaluate different urban renewal project a hierarchical network model based on various factor and the interaction of factor is presented by incorporating expert opinion a priority index can be calculated for each urban renewal project studied and a performance ranking of urban project renewal can be generated in this paper an improved urban renewal project selection methodology which reflects interdependency among evaluation criterion and candidate project using an integrated approach is suggested finally we introduce a method of solution through an empirical real world urban renewal project selection example on an ongoing decision making project in taichung city taiwan using anp zogp the result provide guidance to the government regarding strategy for accepting order for redeveloping urban environment
